Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Full Description
KuCoin,https://www.crunchbase.com/organization/kucoin,"Bitcoin, Blockchain, Cryptocurrency, Finance, Financial Exchanges","Mahé, Beau Vallon, Seychelles","Launched in 2017, KuCoin is a global cryptocurrency exchange offering 400+ digital assets, providing crypto services to 8M+ users.",8,"KuCoin is a global cryptocurrency exchange for numerous digital assets and cryptocurrencies. Launched in September 2017, KuCoin has grown into one of the most popular crypto exchanges and already has over 8 million registered users across 207 countries and regions around the world.   Known as ""People’s Exchange"", KuCoin operates in Seychelles, providing users with 24/7 multi-language customer services. Meanwhile, KuCoin has established about 19 local communities in North America, Europe, SEA and other regions, providing users with highly localized services.   As the home of crypto gems, KuCoin has supported over 420 projects with 790+ trading pairs. A number of projects like ICP, BOSON, AERGO, RNDR and DAO had primary listing on KuCoin.   In November 2018, KuCoin announced $20 million (USD) round A funding from IDG Capital and Matrix Partners. In 2021, Forbes Advisor named KuCoin as one of the Best Crypto Exchanges."
TradeDepot,https://www.crunchbase.com/organization/tradedepot,"B2B, Consumer Goods, E-Commerce","Lagos, Lagos, Nigeria",TradeDepot is a B2B e-commerce and embedded finance platform that offers a broad range of consumer goods to SME retailers.,172,"TradeDepot is an end-to-end distribution platform that connects the world's top consumer goods companies directly to retailers on the streets of Africa's cities. With its headquarters in Lagos, Nigeria, TradeDepot aims to build the largest retail distribution network in Africa. The company was founded in 2016, with a mission to improve milk distribution to smaller retailers on the continent, using technology. Today, the company is scaling the same technology to improve the distribution of food, beverages, and personal care products to retailers, and to improve livelihoods for these retail store owners."
MFS Africa,https://www.crunchbase.com/organization/mfs-africa,"Financial Services, FinTech, Mobile Payments, Payments","Johannesburg, NA - South Africa, South Africa","MFS Africa is a digital payment company that offers mobile financial solutions for senders, money users, and service providers.",478,"MFS Africa is the largest mobile money inter-operability hub in Africa, which connects mobile network operators across the continent through a single API. In addition to mobile remittance services, the MFS Africa API enables merchant payment, bulk payment, bank-to-wallet transfers, and an array of other cross border digital payments services."
SWVL Technologies,https://www.crunchbase.com/organization/swvl,"Internet, Mobile Apps, Transportation, Travel","Cairo, Al Qahirah, Egypt",Swvl offers an app that allows customers to book fixed rate rides on buses and vans in their network.,555,"Swvl is a premium mass transit system that provides buses to every neighborhood in Cairo. It allows people to share a ride in a van or bus during morning and evening commutes for a fixed flat fare with no surge pricing. Through an app, one can book a ride at an affordable rate."
Yassir,https://www.crunchbase.com/organization/yassir,"Apps, Information Technology, Transportation","Algiers, Alger, Algeria",Yassir is a transport service that uses smartphone app and allows everyone to book drivers and move around safely.,746,"Yassir is a transportation service that utilizes a mobile app to enable users to book drivers and travel safely. The company's app locates local drivers that provide on-demand convenience and food delivery, allowing Algerians to travel anywhere they want and get food delivered on-demand. Founded in 2016 by Amel Delli, El Mahdi Yettou, Mustapha Baha, and Noureddine Tayebi and is based in Algiers, Alger, Algeria."
Investec,https://www.crunchbase.com/organization/investec,"Banking, Financial Services","Cape Town, NA - South Africa, South Africa",Investec is a specialist bank and asset management company that provides various financial products and services.,991,"Investec is a specialist bank and asset management company that provides various financial products and services in the United Kingdom, South Africa, Australia, and internationally. The company operates in three divisions: asset management, wealth and investment, and specialist banking. The asset management division offers active investment products and services to institutional and individual investors. It invests in global, emerging, and frontier markets spanning the equity, fixed income, multi-asset, and alternative asset classes. The wealth and investment division provides wealth management, portfolio management, private office, and stockbroking services for individuals, families, trusts, and charities. It also offers investments and savings, pensions and retirement, and tax planning services. The specialist banking division provides private banking, property, corporate and institutional banking, and corporate advisory and investment banking services to personal and business customers. It offers private banking services comprising transactional banking and foreign exchange, lending, deposits, and investments to high-income and high net worth private clients; advisory, principal investments, and property investment fund management services; and corporate and institutional banking services such as treasury and trading services, specialized lending, funds and debt capital markets, and institutional research sales and trading services to corporate, government, and institutional clients. Investec was founded in 1974 and is headquartered in London, United Kingdom."
JUMO,https://www.crunchbase.com/organization/jumo-2,"Big Data, Financial Services, FinTech, Information Technology, Machine Learning, Mobile, Mobile Payments","Cape Town, NA - South Africa, South Africa",JUMO is the market leading Banking as a Service platform that uses AI to power financial services in emerging markets.,"1,124","JUMO offers savings and credit products to entrepreneurs in emerging markets, as well as financial services infrastructure to partners such as eMoney operators, mobile fintech platforms and banks.  The platform has two foundational capabilities: ·       Core – which provides end-to-end, next generation banking infrastructure and ·       Unify – the Artificial Intelligence processor that transforms data to reduce the cost and risk of lending. In just over five years of operation, JUMO has enabled the disbursement of more than US$3.5 billion in loans and reached over 18 million customers and small businesses. They are active in seven markets including Ghana, Tanzania, Kenya, Uganda, Zambia, Côte d’Ivoire and Pakistan."
Twiga Foods,https://www.crunchbase.com/organization/twiga-foods,"Agriculture, E-Commerce, Grocery, Marketplace, Retail, Shopping","Nairobi, Nairobi Area, Kenya",Twiga Foods is a business-to-business marketplace platform that sources produce directly from farmers and delivers it to urban retailers.,"1,246","Twiga is a mobile-based supply platform for Africa’s retail outlets, kiosks, and market stalls. The company is using a mobile-based, cashless, business-to-business (B2B) supply platform to access distribution into the millions of small and medium-sized vendors in African urban markets. Founded in 2013, Twiga is based in Nairobi, Kenya."
OPay,https://www.crunchbase.com/organization/opay-operapay,"Financial Services, FinTech, Mobile Apps, Mobile Payments","Ikeja, Lagos, Nigeria",OPay is a company that enables users to accomplish more with their money by providing smart financial services.,"1,265","OPay designs a mobile payment service and consumer platform for users to send and receive money, pay bills, and order food and groceries. It empowers and enables users to accomplish more with their money by providing smart financial services. It is a one-stop mobile-based platform for payment, transportation, food and grocery delivery, and other important services in everyday life. Millions of users rely on OPay every day to send and receive money, pay bills, and order food and groceries."
Safaricom,https://www.crunchbase.com/organization/safaricom,"Mobile, Optical Communication, Telecommunications","Nairobi, Nairobi Area, Kenya","Safaricom is a mobile network operator that offers internet connectivity, information management, voice, and communication solutions.","1,400","Safaricom is a mobile network operator that offers internet connectivity solutions, information management solutions, voice solutions, and communication solutions. It serves small businesses, medium businesses, and large corporates. The company’s services and offerings include international calls and roaming; data storage, recovery, and backup; online information storage and archiving; mobile banking services; wide area networks, managed Wi-Fi solutions, point-to-point connectivity, 4G connection, and Fiber to Buildings; IT consultancy; virtual collaboration, voice conferencing, and video conferencing; messaging services and voice services; music services; and more. Safaricom was founded in 1997 and is based in Nairobi, Kenya."
Interswitch,https://www.crunchbase.com/organization/interswitch-inc,"Financial Services, Payments","Lagos, Lagos, Nigeria",Interswitch is an Africa-focused integrated digital payments and commerce company.,"1,406",Interswitch is an Africa-focused integrated digital payments and commerce company that facilitates the electronic circulation of money as well as the exchange of value between individuals and organisations on a timely and consistent basis.  The company started operations in 2002 as a transaction switching and electronic payments processing company that builds and manages payment infrastructure as well as deliver innovative payment products and transactional services throughout the African continent.
Ozow,https://www.crunchbase.com/organization/i-pay,"Billing, E-Commerce, Financial Services, Internet, Payments","Johannesburg, NA - South Africa, South Africa",Ozow is an instant EFT payment service in South Africa that allows your customer to make secure online payments directly into your bank.,"1,478",i-Pay is an instant EFT payment service in South Africa that allows your customer to make secure online payments directly into your bank account in real time.
Kuda,https://www.crunchbase.com/organization/kuda-mf-bank,"Banking, Financial Services, FinTech","Lagos, Lagos, Nigeria",Kuda is a licensed digital bank that offers free full service banking services to Africans.,"1,630",Kuda is a full service digital only bank with a mission to bank every African on the planet.  Kuda was founded in 2019 by Babs Ogundeyi and Musty Mustapha and is Headquartered in London
Breadfast,https://www.crunchbase.com/organization/breadfast,"Bakery, Consumer, Delivery Service, E-Commerce, Food and Beverage, Food Delivery, Grocery, Logistics","Cairo, Al Qahirah, Egypt","Breadfast delivers all the households essentials, from bread, to milk, fruits and veggies and more than 3,000 items in less than 60 minutes.","1,799","Breadfast delivers all the households essentials, from bread, to milk, fruits and veggies and more than 3,000 items in less than 60 minutes."
Ecobank,https://www.crunchbase.com/organization/ecobank-transnational,"Banking, Finance, Financial Services","Lomé, Maritime, Togo",Ecobank is a modern pan-African financial institution providing financial solutions.,"1,986","Ecobank Transnational Incorporated (ETI), a public limited liability company, was established as a bank holding company in 1985 under a private sector initiative spearheaded by the Federation of West African Chambers of Commerce and Industry with the support of the Economic Community of West African States (ECOWAS). In the early 1980’s foreign and state-owned banks dominated the banking industry in West Africa. Commercial banks in West Africa owned and managed by the African private sector were a rarity. Its founders created ETI with the objective of filling this vacuum. The Federation of West African Chambers of Commerce promoted and initiated a project to create a private, regional banking institution in West Africa. In 1984, Ecopromotions S.A. was incorporated. Its founding shareholders raised seed capital for feasibility studies and the promotional activities leading to the creation of ETI. In October 1985, ETI was incorporated with authorised capital of US$100 million. The initial paid up capital of US$32 million was raised from over 1,500 individuals and institutions from West African countries. The largest shareholder was the ECOWAS Fund for Cooperation, Compensation and Development (ECOWAS Fund), the development finance arm of ECOWAS. Ecobank signed a Headquarters’ Agreement with the Government of Togo in 1985, which granted it the status of an international organisation. This status came with the rights and privileges necessary for ETI to operate as a regional institution, including the status of a non-resident financial institution. ETI commenced operations with its first subsidiary in Togo in March 1988."
Cellulant,https://www.crunchbase.com/organization/cellulant,"Financial Services, Payments","Nairobi, Nairobi Area, Kenya",Cellulant is a leading multinational payments company in Africa on a mission to digitize payments for Africa's largest economies.,"2,163",Cellulant is a leading multinational payments company in Africa on a mission to digitise payments for Africa’s largest economies. The company operates a one-stop shop payment innovations that enables businesses and consumers to make and accept digital and mobile payments.   
MultiChoice,https://www.crunchbase.com/organization/multichoice,"Broadcasting, Internet","Randburg, NA - South Africa, South Africa",MultiChoice South Africa's activities involve the operation of Pay-Television and internet subscriber platforms.,"2,203","MultiChoice South Africa's activities involve the operation of Pay-Television and internet subscriber platforms. The MultiChoice South Africa group includes the digital satellite Pay-Television business (""DStv""), which has been in operation since 1995."
Wave Mobile Money,https://www.crunchbase.com/organization/wave-mobile-money,"Financial Services, FinTech, Mobile Payments","Dakar, Dakar, Senegal","Wave Mobile Money provides an app-based financial solution to save, transfer, and borrow money.","2,326","Wave Mobile Money provides an app-based financial solution to save, transfer, and borrow money. Wave Mobile Money is on a mission to make Africa the first cashless continent. On a continent where less than 10% of the population has a bank account, Wave is building the first modern financial network — no account fees, instantly available, and accepted everywhere! It is building life-changing financial infrastructure. When mobile money succeeded in Kenya, it lifted about a million people out of poverty. And yet, over 10 years later, most Africans still lack access to affordable ways to save, transfer or borrow the money they need to build businesses or provide for their families. Wave is solving this problem by using technology to build a radically inclusive and extremely affordable financial network."
WeBuyCars,https://www.crunchbase.com/organization/webuycars,"Automotive, E-Commerce","Cape Town, NA - South Africa, South Africa",Webuycars is specialised car buying service,"2,387","WeBuyCars has built an exceptional reputation as the number one car-buying service in South Africa. Started by brothers Faan and Dirk van der Walt, the renowned WeBuyCars brand has expanded with services throughout South Africa, with warehouses in Silver Lakes, Midstream, Durban, Johannesburg South, Port Elizabeth and Cape Town. Part of our success is due to our focus to attract and retain employees who have the same values and principles – who don’t necessarily have the abilities and skills to begin with – but who are willing to learn; work hard, provide excellent customer service and who see themselves walking a long road ahead with WeBuyCars. We also like to grow our employees in the areas we know they will excel in and are currently studying through our bursary programme - and we are happy to reap the rewards from a happy and remarkable workforce. Our workforce currently entails almost 200 sales executives based across the country in our eight branches; and 150 buyers nationwide. With our new branches scheduled to open in the next few years, we are set to continue our exponential growth."
TymeBank,https://www.crunchbase.com/organization/tyme,"Banking, Financial Services, Information Technology, Payments","Johannesburg, NA - South Africa, South Africa",TymeBank is a South African fully black-owned and controlled investment company.,"2,542","TymeBank is a fully black-owned and controlled investment company based in South Africa. It is an exclusively digital retail bank that aims to provide every South African accessible and affordable banking so that they can take part in, grow and benefit from the country’s economy."
Gozem,https://www.crunchbase.com/organization/gozem,"Apps, Delivery, Internet, Payments, Transportation","Lomé, Maritime, Togo","Gozem is an application that offers its users transportation, delivery, and cashless payment services.","2,555","Gozem is an application that offers its users transportation, delivery, and cashless payment services. It offers diverse ride-hailing services, such as motorcycle-taxis, car-taxis, and tricycle-taxis, as well as grocery delivery and other offerings. Gozem brings high-quality digital services to under-served populations in West and Central Africa, starting with the transport/mobility sector."
Treepz,https://www.crunchbase.com/organization/plentywaka-ltd,"Car Sharing, Mobile Apps, Ride Sharing, Transportation, Travel","Lagos, Lagos, Nigeria",Treepz is a Mobility-as-a-Service platform that develops a bus-hailing application to create a safer transportation system for commuters.,"2,593","Treepz is a Mobility-as-a-Service platform that develops a bus-hailing application to create a safer transportation system for commuters. Its application offers vehicle assistants, 13-seater type bus, licensed drivers, and e-wallet payment that helps users book and pay for convenient trips in real-time. Treepz was founded in 2019 and is headquartered in Lagos, Nigeria."
Rabbit mart,https://www.crunchbase.com/organization/rabbit-mart,E-Commerce,"Cairo, Al Qahirah, Egypt",Groceries and more in 20 minutes,"2,616","At Rabbit, we plan to change how the world shops. Retail has witnessed one revolution before with the introduction of E-Commerce that changed how customers order stuff and the second revolution is here! We are proud to be among the pioneers, a handful of global entrepreneurs that are leading and shaping the retail's second revolution We are funded by amazing VCs that are helping us build the next big thing You feel it is vague? that's intended as we are still building in stealth. but trust us, it is COOL!"
takealot.com,https://www.crunchbase.com/organization/takealot-com,"E-Commerce, Logistics, Retail","Cape Town, NA - South Africa, South Africa",takealot.com is an online retailer that offers products across diverse categories.,"2,674","takealot.com is one of SA's largest online retailers with 9+ million products to choose from across 17 categories. Order online & we'll deliver anywhere in SA!  Founded in 2011, takealot.com's mission is to be the most customer-centric online shopping destination in Africa, built around the simple concept that the customer comes first. All of our focus is dedicated to improving the customer experience, from the moment they arrive on our website to the moment their order arrives at their door. By aligning ourselves to this philosophy, we believe takealot.com will be the #1  shopping destination across Africa."
Mydawa,https://www.crunchbase.com/organization/mydawa,"Apps, E-Commerce, Mobile Apps, Wellness","Nairobi, Nairobi Area, Kenya","MYDAWA mission is to deliver quality, affordable, products and experiences that enable our customers live positive, healthy, lifestyles.","2,708",MYDAWA is a new and innovative service that allows anyone buy wide range of high quality medication and wellness products affordably and conveniently from your mobile phone.
uLesson,https://www.crunchbase.com/organization/ulesson,E-Learning,"Jos, Plateau, Nigeria","uLesson mobile offering rests on three pillars: academics,media & technology and curriculum content is delivered via streaming and SD cards.","2,785","uLesson has built the technology to deploy curriculum-relevant content via smartphones, that allows learners to use the product without concern for internet limitations and costs. uLesson’s mobile offering rests on three pillars: academics, media & technology and curriculum content is delivered via streaming and SD cards."
